# Title:August U.S. Tornadoes
# Note: *denotes preliminary data

Date,Tornadoes,Fatalities
195008,13,0
195108,27,0
195208,16,1
195308,24,0
195408,49,1
195508,33,0
195608,42,2
195708,20,0
195808,46,1
195908,38,0
196008,48,1
196108,27,0
196208,51,6
196308,26,2
196408,79,2
196508,61,1
196608,58,0
196708,28,2
196808,66,2
196908,70,19
197008,55,0
197108,50,0
197208,59,2
197308,51,4
197408,106,0
197508,60,2
197608,38,1
197708,82,6
197808,65,1
197908,126,5
198008,73,0
198108,64,0
198208,34,0
198308,76,0
198408,47,0
198508,108,3
198608,67,1
198708,63,1
198808,61,3
198908,36,0
199008,60,29
199108,46,0
199208,115,3
199308,112,6
199408,120,0
199508,53,0
199608,72,0
199708,84,1
199808,61,0
199908,79,1
200008,51,0
200108,69,0
200208,86,0
200308,44,0
200408,179,3
200508,123,4
200608,80,1
200708,73,1
200808,101,0
200908,60,0
201008,55,1
201108,57,2
201208,38,0
201308,45,0
201408,33,0
201508,45,0
201608,90,0
201708,119,0
201808,81,0
201908,78,0
202008,182,3
202108,153,0
202208,35,0
202308,145,2
202408,85,1
202508,42*,0
